Morphology
Abr	Abr
P_inter_-_sg_f_acc	P
P_inter_-_sg_f_dat	P
P_inter_-_sg_f_gen	P
P_inter_-_sg_f_ins	P
P_inter_-_sg_f_loc	P
P_inter_-_sg_f_nom	P
P_inter_-_sg_m_acc	P
P_inter_-_sg_m_dat	P
P_inter_-_sg_m_gen	P
P_inter_-_sg_m_ins	P
P_inter_-_sg_m_loc	P
P_inter_-_sg_m_nom	P
P_inter_-_sg_n_acc	P
P_inter_-_sg_n_dat	P
P_inter_-_sg_n_gen	P
P_inter_-_sg_n_ins	P
P_inter_-_sg_n_loc	P
P_inter_-_sg_n_nom	P
P_pers_1_pl_-_acc	P
P_pers_1_pl_-_dat	P
P_pers_1_pl_-_gen	P
P_pers_1_pl_-_ins	P
P_pers_1_pl_-_loc	P
P_pers_1_pl_-_nom	P
P_pers_1_pl_-_voc	P
P_pers_1_sg_-_acc	P
P_pers_1_sg_-_dat	P
P_pers_1_sg_-_gen	P
P_pers_1_sg_-_ins	P
P_pers_1_sg_-_loc	P
P_pers_1_sg_-_nom	P
P_pers_2_pl_-_acc	P
P_pers_2_pl_-_dat	P
P_pers_2_pl_-_gen	P
P_pers_2_pl_-_ins	P
P_pers_2_pl_-_loc	P
P_pers_2_pl_-_nom	P
P_pers_2_pl_-_voc	P
P_pers_2_sg_-_acc	P
